compressionCurves X,compressionCurves Y
-11.5,13.09181057173041
-11.4,13.18137453006611
-11.3,13.2706535088392
-11.2,13.35963796238265
-11.1,13.44831789727266
-11,13.53668284594148
-10.9,13.62472183853748
-10.8,13.71242337240477
-10.7,13.79977537930402
-10.6,13.88676518980891
-10.5,13.97337949485782
-10.4,14.05960430382404
-10.3,14.14542489905231
-10.2,14.23082578629608
-10.1,14.31579064086637
-10,14.40030224881097
-9.9,14.4843424430317
-9.800000000000001,14.5678920337437
-9.699999999999999,14.65093073304582
-9.6,14.73343707324844
-9.5,14.81538831876926
-9.4,14.89676037167244
-9.300000000000001,14.97752767090716
-9.199999999999999,15.05766308592999
-9.1,15.13713780557855
-9,15.21592122384191
-8.9,15.29398082496187
-8.800000000000001,15.37128207140927
-8.699999999999999,15.44778829953553
-8.6,15.52346062970641
-8.5,15.59825790049207
-8.4,15.67213663863024
-8.300000000000001,15.74505108124661
-8.199999999999999,15.81695327042117
-8.1,15.88779324566078
-8,15.95751936431501
-7.9,16.02607878425037
-7.8,16.0934181440151
-7.7,16.159484472814
-7.6,16.22422635281463
-7.5,16.28759533681321
-7.4,16.3495475941392
-7.3,16.41004571421816
-7.2,16.46906053759951
-7.1,16.52657280848345
-7,16.58257435416427
-6.9,16.63706841096048
-6.8,16.69006866299733
-6.7,16.74159659887744
-6.6,16.79167703149778
-6.5,16.84033217499928
-6.4,16.88757550110134
-6.3,16.93340731706716
-6.2,16.97781387514211
-6.1,17.0207708715025
-6,17.06225131885613
-5.9,17.1022348873968
-5.8,17.14071276860498
-5.7,17.17768754393135
-5.6,17.2131732832427
-5.5,17.24719503090291
-5.4,17.2797885183969
-5.3,17.31100207515508
-5.2,17.34089422832432
-5.1,17.36953140021139
-5,17.39698756707714
-4.9,17.42334225805066
-4.8,17.4486762019778
-4.7,17.47306795711433
-4.6,17.49659239819132
-4.5,17.51931984750966
-4.4,17.54131494668651
-4.3,17.56263602457361
-4.2,17.58333497508717
-4.1,17.60345790748211
-4,17.62304582016369
-3.9,17.64213548496005
-3.8,17.66076020453052
-3.7,17.67895034048514
-3.6,17.69673320351554
-3.5,17.71413286610335
-3.4,17.73117031585315
-3.3,17.74786406427517
-3.2,17.76423082287266
-3.1,17.78028606606372
-3,17.79604439783915
-2.9,17.81151965227511
-2.8,17.82672432413338
-2.7,17.84166940370336
-2.6,17.85636428383091
-2.5,17.87081759926132
-2.4,17.88503769350399
-2.3,17.89903252066139
-2.2,17.912809930719
-2.1,17.92637784226007
-2,17.9397438498895
-1.9,17.95291411246703
-1.8,17.96589371689091
-1.7,17.97868669969085
-1.6,17.99129688921447
-1.5,18.003728374326
-1.4,18.01598584749372
-1.3,18.02807415443251
-1.2,18.03999759510025
-1.1,18.05176000254035
