/V0/PLUS (Vgs1=0.9) X,/V0/PLUS (Vgs1=0.9) Y,/V0/PLUS (Vgs1=1.8) X,/V0/PLUS (Vgs1=1.8) Y,/V0/PLUS (Vgs1=2.7) X,/V0/PLUS (Vgs1=2.7) Y
2.500999999999836,-0.05560066917783054,2.500999999999836,-0.1278677691472548,  ,  
2.501999999999835,-0.05560199812855609,2.501999999999835,-0.1278725415963629,  ,  
2.502999999999835,-0.05560332560156131,2.502999999999835,-0.1278773104567491,  ,  
2.503999999999835,-0.05560465160482206,2.503999999999835,-0.1278820757377503,  ,  
2.504999999999835,-0.05560597614625815,2.504999999999835,-0.1278868374486689,  ,  
2.505999999999835,-0.05560729923373316,2.505999999999835,-0.1278915955987666,  ,  
2.506999999999835,-0.05560862087505439,2.506999999999835,-0.1278963501972699,  ,  
2.507999999999835,-0.05560994107797478,2.507999999999835,-0.1279011012533687,  ,  
2.508999999999835,-0.05561125985019097,2.508999999999835,-0.1279058487762155,  ,  
2.509999999999835,-0.05561257719934778,2.509999999999835,-0.1279105927749272,  ,  
2.510999999999834,-0.0556138931330341,2.510999999999834,-0.1279153332585836,  ,  
2.511999999999834,-0.05561520765878643,2.511999999999834,-0.1279200702362292,  ,  
2.512999999999834,-0.0556165207840876,2.512999999999834,-0.1279248037168724,  ,  
2.513999999999834,-0.05561783251636854,2.513999999999834,-0.1279295337094864,  ,  
2.514999999999834,-0.05561914286300845,2.514999999999834,-0.1279342602230076,  ,  
2.515999999999834,-0.05562045183133406,2.515999999999834,-0.1279389832663385,  ,  
2.516999999999834,-0.05562175942862145,2.516999999999834,-0.1279437028483445,  ,  
2.517999999999834,-0.05562306566209684,2.517999999999834,-0.1279484189778593,  ,  
2.518999999999834,-0.05562437053893454,2.518999999999834,-0.1279531316636793,  ,  
2.519999999999833,-0.05562567406625989,2.519999999999833,-0.1279578409145656,  ,  
2.520999999999833,-0.05562697625114827,2.520999999999833,-0.127962546739247,  ,  
2.521999999999833,-0.05562827710062705,2.521999999999833,-0.1279672491464166,  ,  
2.522999999999833,-0.055629576621674,2.522999999999833,-0.1279719481447345,  ,  
2.523999999999833,-0.05563087482121894,2.523999999999833,-0.1279766437428256,  ,  
2.524999999999833,-0.05563217170614373,2.524999999999833,-0.1279813359492808,  ,  
2.525999999999833,-0.05563346728328337,2.525999999999833,-0.1279860247726598,  ,  
2.526999999999833,-0.0556347615594258,2.526999999999833,-0.1279907102214862,  ,  
2.527999999999833,-0.05563605454131106,2.527999999999833,-0.1279953923042506,  ,  
2.528999999999832,-0.05563734623563499,2.528999999999832,-0.1280000710294129,  ,  
2.529999999999832,-0.05563863664904549,2.529999999999832,-0.1280047464053963,  ,  
2.530999999999832,-0.05563992578814692,2.530999999999832,-0.1280094184405948,  ,  
2.531999999999832,-0.05564121365949683,2.531999999999832,-0.1280140871433663,  ,  
2.532999999999832,-0.05564250026960916,2.532999999999832,-0.1280187525220396,  ,  
2.533999999999832,-0.05564378562495288,2.533999999999832,-0.128023414584909,  ,  
2.534999999999832,-0.05564506973195354,2.534999999999832,-0.1280280733402364,  ,  
2.535999999999832,-0.05564635259699325,2.535999999999832,-0.128032728796254,  ,  
2.536999999999832,-0.05564763422640881,2.536999999999832,-0.1280373809611595,  ,  
