NF dB10 X,NF dB10 Y
10000000000,85.29853542759149
10010000000,85.24987079037709
10020000000,85.20122234264151
10030000000,85.15258999812529
10040000000,85.10397367073354
10050000000,85.05537327453801
10060000000,85.00678872379056
10070000000,84.95821993289462
10080000000,84.90966681644052
10090000000,84.86112928917339
10100000000,84.81260726600418
10110000000,84.76410066201035
10120000000,84.71560939243648
10130000000,84.66713337268524
10140000000,84.61867251832338
10150000000,84.57022674507908
10160000000,84.52179596883727
10170000000,84.47338010565664
10180000000,84.42497907173278
10190000000,84.37659278343321
10200000000,84.32822115727799
10210000000,84.27986410994785
10220000000,84.23152155827374
10230000000,84.18319341924034
10240000000,84.13487960998947
10250000000,84.08658004781287
10260000000,84.0382946501564
10270000000,83.99002333461584
10280000000,83.94176601893967
10290000000,83.8935226210141
10300000000,83.84529305889244
10310000000,83.79707725075947
10320000000,83.74887511495471
10330000000,83.70068656996422
10340000000,83.65251153441315
10350000000,83.60434992707661
10360000000,83.55620166687774
10370000000,83.5080666728644
10380000000,83.45994486424735
10390000000,83.41183616036449
10400000000,83.3637404807083
10410000000,83.31565774489009
10420000000,83.26758787267684
10430000000,83.21953078396479
10440000000,83.17148639879774
10450000000,83.12345463734079
10460000000,83.07543541991215
10470000000,83.02742866694723
10480000000,82.97943429902277
10490000000,82.9314522368597
10500000000,82.88348240128994
10510000000,82.83552471329998
10520000000,82.78757909398857
10530000000,82.73964546459393
10540000000,82.69172374648576
10550000000,82.64381386115187
10560000000,82.59591573022135
10570000000,82.54802927544203
10580000000,82.50015441869206
10590000000,82.4522910819762
10600000000,82.40443918741441
10610000000,82.35659865726714
10620000000,82.30876941390102
10630000000,82.26095137982036
10640000000,82.21314447764321
10650000000,82.16534863011088
10660000000,82.11756376008685
10670000000,82.06978979055087
10680000000,82.02202664460758
10690000000,81.97427424547723
10700000000,81.92653251649268
10710000000,81.87880138110867
10720000000,81.83108076290132
10730000000,81.78337058555198
10740000000,81.73567077286479
10750000000,81.68798124875254
10760000000,81.64030193724639
10770000000,81.59263276248888
10780000000,81.54497364873254
10790000000,81.49732452034397
10800000000,81.44968530179784
10810000000,81.40205591767986
10820000000,81.35443629269092
10830000000,81.3068263516253
10840000000,81.25922601940655
10850000000,81.21163522104224
10860000000,81.164053881668
10870000000,81.11648192651256
10880000000,81.06891928091022
10890000000,81.02136587030623
10900000000,80.97382162024849
10910000000,80.92628645637885
10920000000,80.87876030445693
10930000000,80.83124309032961
10940000000,80.78373473995525
10950000000,80.73623517938907
10960000000,80.68874433478575
10970000000,80.6412621324011
10980000000,80.59378849858489
10990000000,80.54632335978891
11000000000,80.49886664256243
11010000000,80.45141827355488
11020000000,80.40397817950483
11030000000,80.35654628724616
11040000000,80.30912252371286
11050000000,80.26170681592919
11060000000,80.21429909101683
11070000000,80.16689927618442
11080000000,80.11950729873439
11090000000,80.07212308606813
11100000000,80.02474656566685
11110000000,79.97737766510869
11120000000,79.93001631206107
11130000000,79.88266243427999
11140000000,79.83531595960777
11150000000,79.78797681597499
11160000000,79.74064493140433
11170000000,79.69332023400119
11180000000,79.64600265195118
11190000000,79.5986921135347
11200000000,79.55138854711434
11210000000,79.50409188113133
11220000000,79.45680204412091
11230000000,79.40951896469136
11240000000,79.36224257153492
11250000000,79.31497279342869
11260000000,79.26770955923404
11270000000,79.22045279787899
11280000000,79.1732024383922
11290000000,79.12595840986121
11300000000,79.07872064146233
11310000000,79.03148906244871
11320000000,78.98426360215498
11330000000,78.93704418998365
11340000000,78.88983075542237
11350000000,78.84262322802753
11360000000,78.79542153743654
11370000000,78.74822561335095
11380000000,78.70103538556708
11390000000,78.65385078392777
11400000000,78.60667173836779
11410000000,78.55949817889042
11420000000,78.51233003556041
11430000000,78.46516723853115
11440000000,78.41800971801138
11450000000,78.37085740428397
11460000000,78.32371022770614
11470000000,78.2765681186949
11480000000,78.22943100774413
11490000000,78.18229882541479
11500000000,78.1351715023232
11510000000,78.08804896916428
11520000000,78.04093115669662
11530000000,77.99381799573653
11540000000,77.94670941718178
11550000000,77.8996053519725
11560000000,77.85250573112361
11570000000,77.80541048572053
11580000000,77.75831954689562
11590000000,77.71123284585622
11600000000,77.66415031386393
11610000000,77.61707188224113
11620000000,77.56999748237074
11630000000,77.52292704570253
11640000000,77.47586050373488
11650000000,77.42879778802883
11660000000,77.38173883020616
11670000000,77.33468356194317
11680000000,77.28763191497545
11690000000,77.24058382109044
11700000000,77.19353921213792
11710000000,77.14649802001682
11720000000,77.09946017667855
11730000000,77.05242561414286
11740000000,77.00539426446771
11750000000,76.958366059773
11760000000,76.91134093222276
11770000000,76.8643188140442
11780000000,76.81729963751269
11790000000,76.77028333494175
11800000000,76.72326983871385
11810000000,76.67625908125139
11820000000,76.62925099502513
11830000000,76.58224551256684
11840000000,76.53524256642788
11850000000,76.48824208925092
11860000000,76.44124401368224
11870000000,76.3942482724415
11880000000,76.34725479828521
11890000000,76.30026352401848
11900000000,76.25327438248702
11910000000,76.20628730658866
11920000000,76.15930222925729
11930000000,76.11231908347571
11940000000,76.06533780226354
11950000000,76.0183583186892
11960000000,75.9713805658598
11970000000,75.92440447692893
11980000000,75.87742998508311
11990000000,75.83045702355443
12000000000,75.78348552560625
12010000000,75.73651542456116
12020000000,75.68954665375682
12030000000,75.64257914658229
12040000000,75.59561283645968
12050000000,75.54864765685633
12060000000,75.50168354126667
12070000000,75.45472042322382
12080000000,75.40775823630118
12090000000,75.36079691410154
12100000000,75.31383639026411
12110000000,75.26687659846129
12120000000,75.2199174724054
12130000000,75.1729589458313
